block_id	namespace	functional_categories	sources
ars_nouveau:alteration_table	ars_nouveau	crafting_workstations	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:arcane_core	ars_nouveau	processing_machines,magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:arcane_pedestal	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:arcane_platform	ars_nouveau	processing_machines,magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:archwood_chest	ars_nouveau	storage_item_io	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:archwood_pressure_plate	ars_nouveau	processing_machines,create_kinetics_and_logistics	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:brazier_relay	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:creative_source_jar	ars_nouveau	storage_item_io,magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:enchanting_apparatus	ars_nouveau	processing_machines,magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_alternating	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_alternating_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_alternating_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_basketweave	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_basketweave_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_basketweave_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_large_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_large_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_large_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_mosaic	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_mosaic_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_mosaic_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_small_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_small_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:gilded_sourcestone_small_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:imbuement_chamber	ars_nouveau	processing_machines,magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:magebloom_block	ars_nouveau	crafting_workstations,processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:magebloom_crop	ars_nouveau	crafting_workstations,processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:mob_jar	ars_nouveau	storage_item_io	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:mycelial_sourcelink	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potion_diffuser	ars_nouveau	processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potion_jar	ars_nouveau	processing_machines,storage_item_io	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potion_melder	ars_nouveau	processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potted_blue_archwood_sapling	ars_nouveau	processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potted_green_archwood_sapling	ars_nouveau	processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potted_magebloom_crop	ars_nouveau	crafting_workstations,processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potted_purple_archwood_sapling	ars_nouveau	processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:potted_red_archwood_sapling	ars_nouveau	processing_machines	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:ritual	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:ritual_brazier	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:rune	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:scribes_table	ars_nouveau	crafting_workstations	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_alternating	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_alternating_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_alternating_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_basketweave	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_basketweave_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_basketweave_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_large_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_large_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_large_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_mosaic	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_mosaic_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_mosaic_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_small_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_small_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_gilded_sourcestone_small_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_alternating	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_alternating_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_alternating_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_basketweave	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_basketweave_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_basketweave_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_large_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_large_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_large_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_mosaic	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_mosaic_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_mosaic_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_small_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_small_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_small_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:smooth_sourcestone_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:source_gem	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:source_gem_block	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:source_jar	ars_nouveau	storage_item_io,magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourceberry_bush	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourceberry_sack	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_alternating	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_alternating_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_alternating_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_basketweave	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_basketweave_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_basketweave_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_large_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_large_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_large_bricks_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_mosaic	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_mosaic_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_mosaic_stairs	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_sconce	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_small_bricks	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:sourcestone_small_bricks_slab	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
