jar,mod_ids,display_names,jar_mib,model_pressure_score,files_total,assets_files,data_files,blockstates,block_models,item_models,textures_png,geo_models,animations,lang_files,recipes,loot_tables,worldgen,tags,patchouli_json,guide_json,namespaces
BrewinAndChewin-1.20.1-3.2.1.jar,brewinandchewin,Brewin' And Chewin',1.15,1637.0,1091,558,288,31,138,48,225,0,0,3,208,7,0,15,0,0,brewinandchewin:837;minecraft:3;farmersdelight:2;origins:2;emi:1;forge:1
BuildingWands-forge-MC1.20.1-3.0.4.jar,wands,Building Wands,0.43,116.0,247,73,21,0,0,10,43,0,0,9,10,0,0,1,0,0,wands:93;minecraft:1
CerbonsAPI-Forge-1.20.1-1.1.0.jar,cerbons_api,Cerbons API,0.23,0.0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cobble-Gen-Haters-1.20-1.0.1.jar,cobblegenhaters,Cobble Gen Hater,0.0,0.0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,cobblegenhaters:1
ColdSweat-2.4.jar,cold_sweat,Cold Sweat,2.49,662.0,1182,305,179,9,24,44,169,0,0,11,39,14,3,54,0,0,cold_sweat:450;forge:17;minecraft:15;curios:2
Controlling-forge-1.20.1-12.0.2.jar,controlling,Controlling,0.11,0.0,73,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,controlling:23
CreativeCore_FORGE_v2.12.35_mc1.20.1.jar,creativecore,CreativeCore,1.09,2.0,661,12,0,0,0,0,1,0,0,10,0,0,0,0,0,0,creativecore:12
Delightful-1.20.1-3.7.8.jar,delightful,Delightful,1.53,3660.0,2680,1059,1397,48,254,179,410,0,0,16,858,48,6,306,0,0,delightful:1867;forge:189;farmersdelight:46;minecraft:28;thermal:27;wildberries:18;brewinandchewin:13;hearthandharvest:9
Ding-1.20.1-Forge-1.5.0.jar,ding,Ding,0.04,0.0,16,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,ding:3
DistantHorizons-2.4.5-b-1.20.1-fabric-forge.jar,distanthorizons,Distant Horizons,24.2,10.0,1582,13,0,0,0,0,5,0,0,2,0,0,0,0,0,0,distanthorizons:13
DynamicTrees-1.20.1-1.4.10.jar,dynamictrees,Dynamic Trees,3.58,1324.8,1307,360,137,88,93,35,65,0,0,14,3,68,20,40,1,1,dynamictrees:452;minecraft:45
DynamicTreesArsNouveau-1.20.1-1.2.0.jar,dtarsnouveau,Dynamic Trees for Ars Nouveau,0.27,1346.8,349,273,38,30,218,10,13,0,0,1,0,30,0,7,1,1,dtarsnouveau:302;dynamictrees:8;ars_nouveau:1
DynamicTreesPlus-1.20.1-1.2.2.jar,dynamictreesplus,Dynamic Trees Plus,0.51,258.0,194,77,18,14,25,7,13,0,0,14,0,9,0,9,0,0,dynamictreesplus:81;dynamictrees:13;minecraft:1
DynamicTreesQuark-1.20.1-2.5.3.jar,dtquark,Dynamic Trees for Quark,0.44,328.0,167,70,44,23,21,11,14,0,0,1,0,29,2,10,0,0,dtquark:103;dynamictrees:10;forge:1
Explosion-Overhaul-0.2.3.0-forge-.jar,explosionoverhaul,Explosion Overhaul: A new level of destruction,80.53,51.0,625,444,0,1,1,2,15,1,1,4,0,0,0,0,0,0,explosionoverhaul:444
ExtendedAE-1.20-1.4.14-forge.jar,expatternprovider,ExtendedAE,2.8,989.0,1158,628,156,23,65,55,162,0,0,7,69,23,0,11,0,0,expatternprovider:714;ae2:63;forge:5;curios:1;minecraft:1
Fallout Wasteland 1.20.1 Beta 3.8.1.jar,fallout_wastelands_,Fallout_Wastelands_2,5.32,8862.0,4549,2353,971,336,620,570,723,7,7,1,315,362,147,47,0,0,fallout_wastelands_:3286;minecraft:37;forge:1
FarmersDelight-1.20.1-1.3.1.jar,farmersdelight,Farmer's Delight,3.12,3428.0,2197,991,908,132,182,187,425,0,0,44,333,112,19,162,0,0,farmersdelight:1773;forge:80;minecraft:28;sereneseasons:9;create:4;createaddition:2;emi:1;origins:1
FastFurnace-1.20.1-8.0.2.jar,fastfurnace,FastFurnace,0.01,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FastWorkbench-1.20.1-8.0.4.jar,fastbench,Fast Workbench,0.03,0.0,24,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,fastbench:2
ForgeEndertech-1.20.1-11.1.10.0-build.2048.jar,forgeendertech,ForgeEndertech,0.53,10.0,287,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,forgeendertech:5
FramedBlocks-9.4.3.jar,framedblocks,FramedBlocks,4.05,2865.0,2766,564,884,206,103,200,50,0,0,2,408,206,0,35,0,0,framedblocks:1417;minecraft:25;forge:5;diagonalwindows:1
Geophilic v3.4.6.mod.jar,geophilic,Geophilic,0.72,975.0,860,0,325,0,0,0,0,0,0,0,0,0,325,0,0,0,geophilic:296;minecraft:29
GlitchCore-forge-1.20.1-0.0.1.1.jar,glitchcore,GlitchCore,0.08,0.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GlobalGameRules-1.20.1-8.1.0.12.jar,globalgamerules,Global GameRules,0.02,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Glodium-1.20-1.5-forge.jar,glodium,Glodium,0.06,0.0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HangGlider-v8.0.1-1.20.1-Forge.jar,hangglider,Hang Glider,0.13,40.0,79,21,8,0,0,7,11,0,0,2,4,0,0,0,0,0,hangglider:28;minecraft:1
Hyle-2.0.0-1.20.1-forge-all.jar,hyle,Hyle,0.19,6.0,67,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,hyle:5
JsonThings-1.20.1-0.9.13.jar,jsonthings,Json Things,0.5,0.0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
K-Turrets-3.0.44-1.20.1.jar,k_turrets,K-Turrets,1.12,295.0,367,126,52,4,3,37,69,0,0,4,29,3,4,9,0,0,k_turrets:176;forge:1;minecraft:1
KubeJS Blood Magic-1.0.2-1.20.1.jar,kubejsbloodmagic,KubeJS Blood Magic,0.01,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Log-Begone-Forge-1.20.1-1.0.8.jar,logbegone,Log Begone,0.06,0.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,logbegone:1
Mantle-1.20.1-1.11.104.jar,mantle,Mantle,1.55,37.0,887,74,25,0,1,1,15,0,0,6,0,0,0,5,0,0,mantle:99
MouseTweaks-forge-mc1.20.1-2.25.1.jar,mousetweaks,Mouse Tweaks,0.07,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MyNethersDelight-1.20.1-0.1.8.jar,mynethersdelight,My Nether's Delight,0.75,1967.0,1058,548,411,49,174,113,199,0,0,7,130,43,2,112,0,0,mynethersdelight:864;minecraft:47;forge:21;farmersdelight:17;miners_delight:5;mypersonaldelight:2;brewinandchewin:1;farmersrespite:1
NaturesCompass-1.20.1-1.12.0-forge.jar,naturescompass,Nature's Compass,0.22,142.0,135,91,7,0,0,32,38,0,0,21,2,0,0,1,0,0,naturescompass:97;minecraft:1
Not Enough Recipe Book-FORGE-0.4.1+1.20.1.jar,nerb,Not Enough Recipe Book,0.02,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OctoLib-FORGE-0.5.0.1+1.20.1.jar,octolib,OctoLib,0.4,0.0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Patchouli-1.20.1-85-FORGE.jar,patchouli,Patchouli,0.61,52.0,248,42,2,0,0,9,17,0,0,12,0,0,0,2,0,0,patchouli:42;minecraft:2
Placebo-1.20.1-8.6.3.jar,placebo,Placebo,0.27,32.0,186,24,0,0,0,0,16,0,0,7,0,0,0,0,0,0,placebo:23;minecraft:1
PlayerRevive_FORGE_v2.0.31_mc1.20.1.jar,playerrevive,PlayerRevive,5.05,0.0,47,16,1,0,0,0,0,0,0,11,0,0,0,0,0,0,playerrevive:17
PresenceFootsteps-1.20.1-1.9.1-beta.1.jar,presencefootsteps,Presence Footsteps (Forge),6.75,0.0,1019,928,0,0,0,0,0,0,0,10,0,0,0,0,0,0,presencefootsteps:472;presencefootstepsmono:456
PuzzlesLib-v8.1.33-1.20.1-Forge.jar,puzzleslib,Puzzles Lib,1.28,0.0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quark-4.0-462.jar,quark,Quark,14.24,18625.0,8172,4451,2775,809,1469,1000,972,0,0,24,1602,835,15,255,0,0,quark:6999;minecraft:142;forge:79;lootr:4;emi:1;zeta:1
Satako-7.0.33-1.20.1.jar,satako,Satako,0.13,10.0,69,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,satako:4
Searchables-forge-1.20.1-1.0.3.jar,searchables,Searchables,0.07,0.0,71,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,searchables:23
SereneSeasons-forge-1.20.1-9.1.0.2.jar,sereneseasons,Serene Seasons,0.15,123.0,171,71,23,1,4,22,25,0,0,19,2,1,0,18,0,0,sereneseasons:92;c:1;forge:1
ShoulderSurfing-Forge-1.20.1-4.22.7.jar,shouldersurfing,Shoulder Surfing Reloaded,0.26,6.0,153,10,0,0,0,0,3,0,0,7,0,0,0,0,0,0,shouldersurfing:10
SimpleDayLengthExtender-1.2.1-Forge-1.20.1.jar,simpledaylengthextender,Simple Day Length Extender,0.18,0.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SleepingOverhaul-2.1.0-Forge-1.20.1.jar,sleepingoverhaul,Sleeping Overhaul 2,0.28,0.0,69,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,sleepingoverhaul:2
SmartBrainLib-forge-1.20.1-1.15.jar,smartbrainlib,SmartBrainLib,0.35,0.0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steam_Rails-1.7.2+forge-mc1.20.1.jar,railways,Create: Steam 'n' Rails,16.04,70016.0,24306,16818,6019,1438,8968,1911,4217,0,0,28,2856,1436,0,430,0,0,railways:21762;byg:308;tfc:220;natures_spirit:155;biomesoplenty:110;twilightforest:88;blue_skies:77;create_dd:44
TConstruct-1.20.1-3.11.2.166.jar,tconstruct,Tinkers' Construct,20.57,36005.0,27493,19710,5378,435,694,844,12426,0,0,19,2950,342,31,802,0,0,tconstruct:24731;forge:262;minecraft:83;mantle:4;c:2;twilightforest:2;ceramics:1;headlight:1
TerraBlender-forge-1.20.1-3.0.1.10.jar,terrablender,TerraBlender,0.1,3.0,72,6,3,0,0,0,0,0,0,6,0,0,1,2,0,0,terrablender:9
The_Undergarden-1.20.1-0.8.14.jar,undergarden,The Undergarden,43.0,5181.0,3228,1579,1235,200,344,303,376,0,0,8,289,215,133,220,0,0,undergarden:2621;minecraft:106;forge:87
ThirstWasTaken-1.20.1-1.4.0.jar,thirst,Thirst was Taken,0.21,78.0,175,24,62,1,1,5,8,0,0,8,25,16,0,4,0,0,thirst:81;minecraft:4;forge:1
TinkerBetterCombat 0.14.jar,tinkers_better_combat,Tinkers' Better Combat,0.02,0.0,45,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,tconstruct:16;additionalweaponry:4;sakuratinker:4;tinkers_thinking:4;tinkersweaponry:3;constructs_casting:2;tinkers_reforged:2;tcompat:1
TinkersBattleSpades-1.20.1-1.2.1.jar,tinkers_battle_spades,Tinkers' Battle Spades,0.19,745.0,403,381,16,0,0,3,369,0,0,1,1,0,0,12,0,0,tinkers_battle_spades:383;tconstruct:14
TinyCoal-forge-1.20.1-1.1.5.jar,tinycoal,Tiny Coal,0.02,12.0,31,8,6,0,0,2,2,0,0,4,4,0,0,2,0,0,tinycoal:12;c:1;forge:1
Towns-and-Towers-1.12-Fabric+Forge.jar,t_and_t,Towns and Towers,2.73,878.0,1201,1,1188,0,0,0,0,0,0,0,0,14,288,69,0,0,kaisyn:1053;towns_and_towers:121;minecraft:10;cristellib:4;t_and_t:1
TradingPost-v8.0.2-1.20.1-Forge.jar,tradingpost,Trading Post,0.12,25.0,62,14,4,1,1,1,5,0,0,5,1,1,0,2,0,0,tradingpost:16;minecraft:2
TravelersTitles-1.20-Forge-4.0.2.jar,travelerstitles,Traveler's Titles,0.22,0.0,56,9,1,0,0,0,0,0,0,5,0,0,0,1,0,0,travelerstitles:10
UnEarthed-2.3.0-1.20.1-forge-all.jar,unearthed,Unearthed,1.6,8820.0,3546,2018,1449,409,766,418,420,0,0,5,512,345,1,50,0,0,unearthed:2906;minecraft:556;hyle:4;forge:1
VeggiesDelight-1.20.1-1.9.2.jar,veggiesdelight,Veggies Delight,0.56,1409.0,922,378,493,29,84,94,163,0,0,8,215,38,16,70,0,0,veggiesdelight:800;forge:45;sereneseasons:8;farmersdelight:6;minecraft:6;naturalist:2;alexmobs:1;createaddition:1
YungsApi-1.20-Forge-4.0.6.jar,yungsapi,YUNG's API,0.35,0.0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zeta-1.0-31.jar,zeta,Zeta,0.96,0.0,709,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,zeta:4
[forge]ctov-3.4.14.jar,ctov,ChoiceTheorem's Overhauled Village,6.46,1098.0,3464,6,3366,0,0,0,0,0,0,5,0,54,348,30,0,0,ctov:3308;wares:35;monobank:28;minecraft:1
acid_vat-0.1.0.jar,acid_vat,Acid Vat,0.57,722.0,417,156,34,13,109,12,21,0,0,1,22,11,0,0,0,0,acid_vat:190
addonapi-mc1.20.1-2.0.0.jar,addonapi,AddonAPI,0.02,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
aether-1.20.1-1.5.2-neoforge.jar,aether,The Aether,37.91,4789.0,4411,1581,1318,131,203,609,506,0,0,39,369,191,66,287,0,0,aether:2761;minecraft:99;forge:31;curios:6;randomium:1;supplementaries:1
alchemistry-1.20.1-2.3.4.jar,alchemistry,Alchemistry,3.49,6118.8,7801,148,7443,14,25,14,59,0,0,7,5749,14,0,2,1,1,alchemistry:7589;minecraft:2
alchemylib-1.20.1-1.0.30.jar,alchemylib,AlchemyLib,0.1,2.0,75,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,alchemylib:2
alekiNiftyShips-FORGE-1.20.1-1.0.14.jar,alekiships,aleki's Nifty Ships,21.3,1605.0,821,369,174,26,198,17,120,0,0,4,8,81,32,18,0,0,alekiships:539;minecraft:3;carryon:1
alltheleaks-1.1.1+1.20.1-forge.jar,alltheleaks,All The Leaks,1.13,0.0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
almostunified-forge-1.20.1-0.11.0.jar,almostunified,AlmostUnified,0.21,2.0,130,9,0,0,0,0,1,0,0,8,0,0,0,0,0,0,almostunified:9
amendments-1.20-2.2.5.jar,amendments,Amendments,1.24,943.0,662,353,48,39,73,2,168,0,0,19,2,2,0,33,0,0,amendments:348;minecraft:25;supplementaries:22;apotheosis:5;quark:1
appleskin-forge-mc1.20.1-2.5.1.jar,appleskin,AppleSkin,0.05,2.0,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,appleskin:1
appliedenergistics2-forge-15.4.10.jar,ae2,Applied Energistics 2,8.1,4288.0,4762,1808,1071,103,212,379,626,0,0,17,487,104,3,67,0,0,ae2:2847;forge:20;minecraft:11;guideme:1
architectury-9.2.14-forge.jar,architectury,Architectury,0.55,0.0,392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,architectury:1
ars_nouveau-1.20.1-4.12.7-all.jar,ars_nouveau,Ars Nouveau,11.85,6681.8,5053,2214,1337,187,409,426,699,68,45,30,635,174,31,160,1,1,ars_nouveau:3447;minecraft:59;forge:32;curios:7;malum:4;carryon:1;nyfsquiver:1
artifacts-forge-9.5.19.jar,artifacts,Artifacts,0.81,370.0,509,176,133,0,0,50,100,0,0,17,3,61,2,22,0,0,artifacts:297;curios:6;minecraft:2;origins:2;forge:1;industrialforegoing:1
athena-forge-1.20.1-3.1.2.jar,athena,Athena,0.09,0.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
bettercombat-forge-1.9.0+1.20.1.jar,bettercombat,Better Combat,1.01,0.0,267,68,39,0,0,0,0,0,0,10,0,0,0,0,0,0,bettercombat:100;minecraft:7
bloodmagic-1.20.1-3.3.7-49.jar,bloodmagic,Blood Magic,14.38,7291.8,4819,2393,1567,220,477,520,751,0,0,1,794,244,2,133,1,1,bloodmagic:3864;forge:72;minecraft:20;curios:4
blue_skies-1.20.1-1.3.31.jar,blue_skies,Blue Skies,79.69,15884.0,9727,5058,3588,522,1116,1190,1140,0,0,27,695,641,392,299,0,0,blue_skies:8461;minecraft:114;forge:42;xaerominimap:29
blueprint-1.20.1-7.1.3.jar,blueprint,Blueprint,1.1,82.0,585,35,66,0,14,1,2,0,0,11,3,0,1,57,0,0,blueprint:57;forge:25;minecraft:13;woodworks:4;boatload:2
btmfixes-0.1.0.jar,btmfixes,Bound to Matter Fixes,0.01,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
buildinggadgets2-1.0.8.jar,buildinggadgets2,Building Gadgets 2,3.66,440.8,432,250,18,7,9,30,142,0,0,2,7,2,0,2,1,1,buildinggadgets2:267;forge:1
c2meF-0.2.0+alpha.13-all.jar,c2me,Concurrent Chunk Management Engine (Forge),1.76,0.0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c2me:1
caelus-forge-3.2.0+1.20.1.jar,caelus,Caelus API,0.04,0.0,32,7,1,0,0,0,0,0,0,7,0,0,0,1,0,0,caelus:7;forge:1
chefsdelight-1.0.4-forge-1.20.1.jar,chefsdelight,Chefs Delight,0.09,13.0,31,8,12,0,0,0,6,0,0,1,0,1,0,1,0,0,chefsdelight:17;merchantmarkers:2;minecraft:1
chemlib-1.20.1-2.0.19.jar,chemlib,ChemLib,12.98,3390.0,2584,1149,1372,105,77,814,147,0,0,6,385,68,0,532,0,0,chemlib:1989;forge:530;minecraft:2
chipped-forge-1.20.1-3.0.7.jar,chipped,Chipped,14.36,129676.0,36832,36152,624,6981,9839,6987,12300,0,0,1,14,7,0,596,0,0,chipped:36734;minecraft:42
citadel-2.6.3-1.20.1.jar,citadel,Citadel,3.04,45.0,1466,33,2,1,0,5,14,0,0,1,0,1,0,0,0,0,citadel:35
classselector-1.0.0.jar,classselector,Class Selector,0.11,0.0,52,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,classselector:2
cloth-config-11.1.136-forge.jar,cloth_config,Cloth Config v10 API,1.13,2.0,667,24,0,0,0,0,1,0,0,23,0,0,0,0,0,0,cloth-config2:24
collective-1.20.1-8.20.jar,collective,Collective,0.63,0.0,422,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,collective:3
collectorsreap-1.20.1-1.5.5.jar,collectorsreap,Collector's Reap,1.48,5038.0,2548,1395,970,150,425,257,467,0,0,17,382,153,10,219,0,0,collectorsreap:2149;forge:71;minecraft:57;blueprint:13;neapolitan:8;brewinandchewin:7;farmersdelight:7;letfishlove:7
compressedcreativity-1.20.1-0.2.0-all.jar,compressedcreativity,Compressed Creativity,0.71,1030.0,483,297,79,25,128,33,58,0,0,7,33,25,0,5,0,0,compressedcreativity:332;pneumaticcraft:40;create:2;minecraft:2
computerbridge-0.1.0.jar,computerbridge,ComputerBridge,0.05,0.0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
configurabledeath-1.20.1-1.0.3.jar,configurabledeath,Configurable Death,0.03,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
controllable-forge-1.20.1-0.21.9.jar,controllable,Controllable,7.22,8.0,223,10,0,0,0,0,4,0,0,4,0,0,0,0,0,0,controllable:10
corn_delight-1.1.9-1.20.1.jar,corn_delight,Corn Delight,0.16,391.0,278,123,130,6,28,27,49,0,0,12,50,7,2,25,0,0,corn_delight:227;forge:12;minecraft:7;sereneseasons:4;farmersdelight:2;curios:1
coroutil-forge-1.20.1-1.3.7.jar,coroutil,CoroUtil,0.06,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cravings-1.2.1-forge-1.20.1.jar,cravings,Cravings!,0.88,124.0,187,70,11,0,0,16,46,0,0,8,0,0,0,0,0,0,cravings:81
create-1.20.1-6.0.8.jar,create,Create,18.28,19915.0,11573,5071,3803,643,1901,775,1289,0,0,62,1766,640,6,173,0,0,create:8724;minecraft:89;forge:59;curios:1;quark:1
create-new-age-1.1.7f+forge-mc1.20.1.jar,create_new_age,Create: New Age,1.09,896.0,599,254,138,34,66,52,79,0,0,12,54,34,4,12,0,0,create_new_age:388;minecraft:4
create-stuff-additions1.20.1_v2.1.2.jar,create_sa,Create Stuff 'N Additions,1.3,668.0,873,315,102,2,8,80,182,0,0,8,90,2,0,9,0,0,create_sa:413;minecraft:3;create:1
create-transmission-loss-0.1.0.jar,transmissionloss,Create Transmission Loss,0.08,0.0,47,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,transmissionloss:3
create_bb-1.0.7-1.20.1-Forge.jar,create_bb,Create: Blocks & Bogies,2.51,2353.0,1393,891,33,31,420,0,18,0,0,3,0,31,0,2,0,0,create_bb:922;create:1;minecraft:1
create_central_kitchen-1.20.1-for-create-6.0.6-1.4.3b.jar,create_central_kitchen,Create: Central Kitchen,0.78,347.0,601,153,43,8,17,34,69,0,0,11,8,0,0,34,0,0,create_central_kitchen:161;forge:15;minecraft:8;create:5;quark:4;farmersdelight:3
create_cold_sweat-1.1.2.jar,create_cold_sweat,Create: Cold Sweat,0.21,2.0,32,1,7,0,0,0,1,0,0,0,0,0,0,6,0,0,create_cold_sweat:8
create_connected-1.1.13-mc1.20.1-all.jar,create_connected,Create: Connected,6.26,2394.0,1228,570,288,65,320,57,67,0,0,42,91,65,0,47,0,0,create_connected:811;minecraft:10;copycats:9;create:9;dndesires:6;create_henry:5;create_dragons_plus:3;forge:2
create_enchantment_industry-1.3.3-for-create-6.0.6.jar,create_enchantment_industry,Create Enchantment Industry,0.47,136.0,268,63,56,4,8,6,15,0,0,14,27,3,0,9,0,0,create_enchantment_industry:115;minecraft:2;create:1;forge:1
create_more_additions-2.0.0-forge-1.20.1.jar,create_more_additions,Create: Crafts & (More) Additions,0.48,735.0,353,168,131,23,71,39,34,0,0,1,61,23,4,40,0,0,create_more_additions:260;forge:23;minecraft:14;create:1;createaddition:1
create_power_loader-2.0.3-mc1.20.1.jar,create_power_loader,Create: Power Loader,0.22,143.0,131,50,11,4,17,4,10,0,0,8,2,4,0,4,0,0,create_power_loader:58;minecraft:2;create:1
create_things_and_misc-4.1.0-forge-1.20.1.jar,create_things_and_misc,create: things and misc,0.99,1568.0,952,479,198,65,89,95,190,0,0,1,100,63,0,34,0,0,create_things_and_misc:643;minecraft:24;create:6;farmersdelight:3;forge:1
createadditionallogistics-1.20.1-1.4.5.jar,createadditionallogistics,Create: Additional Logistics,0.9,2878.0,1208,613,361,156,264,157,29,0,0,7,94,156,0,18,0,0,createadditionallogistics:970;create:2;minecraft:2
createaddoncompatibility-0.2.4.jar,createaddoncompatibility,Create: Addon Compatibility,0.16,4.0,46,1,22,0,0,0,0,0,0,1,4,0,0,10,0,0,createaddoncompatibility:14;copycats:5;forge:4
createadvlogistics-0.2.0.jar,createadvlogistics,Create: Advanced Logistics,0.16,67.0,101,20,15,2,6,3,6,0,0,1,5,2,0,3,0,0,createadvlogistics:28;minecraft:6;create:1
createappliedkinetics-1.5.1-1.20.1.jar,createappliedkinetics,Create Applied Kinetics,0.06,99.0,73,34,20,2,3,13,13,0,0,3,18,2,0,0,0,0,createappliedkinetics:38;ae2:16
createbigcannons-5.11.3-mc.1.20.1-forge.jar,createbigcannons,Create Big Cannons,3.86,3674.0,3010,1122,965,139,273,213,368,0,0,13,150,163,0,95,0,0,createbigcannons:1680;framedblocks:204;minecraft:103;copycats:42;c:26;forge:21;create:7;example_createbigcannons:2
createdieselgenerators-1.20.1-1.3.12.jar,createdieselgenerators,Create: Diesel Generators,2.98,2284.0,1160,722,208,64,195,113,261,0,0,14,135,42,0,25,0,0,createdieselgenerators:886;everycomp:18;forge:8;minecraft:6;quark:6;immersiveengineering:3;create:2;farmersdelight:1
createfix-0.5.jar,createfix,Create Potato Cannon Fix,0.01,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
createliquidfuel-2.1.1-1.20.1.jar,createliquidfuel,Create Liquid Fuel,0.02,0.0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,createliquidfuel:3
createmoredrillheads-2.1.0-1.20.1.jar,createmoredrillheads,Create: More Drill Heads,0.12,490.0,196,105,69,30,35,33,3,0,0,4,33,30,0,6,0,0,createmoredrillheads:168;forge:3;minecraft:2;create:1
